    "aylik_gider_usd": round(toplam_gider / usd_rate, 2),
                             ~~~~~~~~~~~~~^~~~~~~~~~
TypeError: unsupported operand type(s) for /: 'NoneType' and 'float'
2026-05-16 23:27:28 | api                  | INFO     | Analiz tamamlandı — session: 52ed103c
2026-05-16 23:33:37 | api                  | INFO     | Dosya yüklendi: ayse_nisan_2026.pdf — session: 251d5be3
2026-05-16 23:33:39 | api                  | INFO     | Analiz başladı — session: 251d5be3
2026-05-16 23:33:39 | workflow             | INFO     | Parser Agent başladı
2026-05-16 23:33:39 | parser_agent         | INFO     | PDF okundu: 2984 byte
2026-05-16 23:34:08 | parser_agent         | INFO     | Gemini yanıtı alındı: 2878 karakter
2026-05-16 23:34:08 | parser_agent         | INFO     | İşlemler sanitize edildi
2026-05-16 23:34:08 | parser_agent         | INFO     | 18 işlem parse edildi
2026-05-16 23:34:35 | parser_agent         | INFO     | 18 işlem Qdrant'a kaydedildi
2026-05-16 23:34:35 | workflow             | INFO     | Analyst Agent başladı
2026-05-16 23:34:35 | analyst_agent        | INFO     | Kategorilendirme başladı
2026-05-16 23:34:35 | analyst_agent        | INFO     | Enflasyon analizi başladı
2026-05-16 23:34:35 | analyst_agent        | INFO     | Vergi X-Ray hesaplanıyor
2026-05-16 23:34:35 | analyst_agent        | INFO     | Anomali tespiti başladı
2026-05-16 23:34:35 | analyst_agent        | INFO     | Abonelik tespiti başladı
2026-05-16 23:34:35 | workflow             | INFO     | Normal akış — Advisory'e geçiliyor
2026-05-16 23:34:35 | workflow             | INFO     | Advisory Agent başladı
2026-05-16 23:34:35 | advisory_agent       | INFO     | Piyasa bağlamı çekiliyor
2026-05-16 23:34:35 | context_fetcher      | INFO     | Piyasa verileri çekiliyor
2026-05-16 23:34:38 | context_fetcher      | INFO     | Döviz kurları alındı: ['USD', 'EUR', 'GBP', 'CHF', 'tarih']
2026-05-16 23:34:38 | context_fetcher      | WARNING  | NEWS_API_KEY bulunamadı, fallback haberler kullanılıyor
2026-05-16 23:34:38 | context_fetcher      | INFO     | USD/TL: 45.4695
2026-05-16 23:34:38 | context_fetcher      | INFO     | Yıllık TÜFE: %38.1
2026-05-16 23:34:38 | advisory_agent       | INFO     | Döviz kalkanı hesaplanıyor
2026-05-16 23:34:38 | advisory_agent       | INFO     | Proaktif uyarılar üretiliyor
2026-05-16 23:34:38 | advisory_agent       | INFO     | Gemini yanıtı üretiliyor
2026-05-16 23:34:53 | health_score         | INFO     | Finansal sağlık skoru: 66/100 — Orta
2026-05-16 23:34:53 | api                  | INFO     | Analiz tamamlandı — session: 251d5be3
2026-05-17 00:08:08 | api                  | INFO     | Dosya yüklendi: ayse_nisan_2026.pdf — session: d251d3a4
2026-05-17 00:08:10 | api                  | INFO     | Analiz başladı — session: d251d3a4
2026-05-17 00:08:10 | workflow             | INFO     | Parser Agent başladı
2026-05-17 00:08:10 | parser_agent         | INFO     | PDF okundu: 2984 byte
2026-05-17 00:08:36 | parser_agent         | INFO     | Gemini yanıtı alındı: 2861 karakter
2026-05-17 00:08:36 | parser_agent         | INFO     | İşlemler sanitize edildi
2026-05-17 00:08:36 | parser_agent         | INFO     | 18 işlem parse edildi
